name,id,types,formattedAddress,rating,reviewsCount,location
places/ChIJbRsCFkXafkcRFV0UzbORs2A,ChIJbRsCFkXafkcRFV0UzbORs2A,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Vicolo dei Dotto, 3, 35139 Padova PD, Italy",3,,
places/ChIJlQtACUjbfkcRD-MqjOnYYwA,ChIJlQtACUjbfkcRD-MqjOnYYwA,"['ice_cream_shop', 'bar', 'store', 'food', 'point_of_interest', 'establishment']","Via G. Marconi, 204, 35020 Ponte San Nicolò PD, Italy",4.3,,
places/ChIJHdFDoLfbfkcRGKgaOJMqa1E,ChIJHdFDoLfbfkcRGKgaOJMqa1E,"['park', 'bar', 'point_of_interest', 'establishment']","Via Bainsizza, 31, 35143 Padova PD, Italy",4.4,,
places/ChIJ70wXNFLafkcR7nRuzPxnpas,ChIJ70wXNFLafkcR7nRuzPxnpas,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Umberto I, 31, 35122 Padova PD, Italy",4.3,,
places/ChIJp8zvPnvZfkcRYWQP0I4OlaU,ChIJp8zvPnvZfkcRYWQP0I4OlaU,"['brazilian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Antonio Rossi, 5, 35030 Rubano PD, Italy",4.1,,
places/ChIJk6LMdwjbfkcRqTV3lF8bJ2c,ChIJk6LMdwjbfkcRqTV3lF8bJ2c,"['pizza_restaurant', 'italian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Giuseppe Comino, 4, 35100 Padova PD, Italy",4.4,,
places/ChIJgahnhkTafkcRjOS0yqc05k0,ChIJgahnhkTafkcRjOS0yqc05k0,"['pizza_restaurant', 'meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']","Piazza Petrarca, 8, 35137 Padova PD, Italy",4.3,,
places/ChIJ08t8WjjafkcRIaydrYfr9Yc,ChIJ08t8WjjafkcRIaydrYfr9Yc,"['hamburger_restaurant', 'american_restaurant', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Vicenza, 15B, 35138 Padova PD, Italy",4.4,,
places/ChIJ81IpJZTZfkcR-hM8h-BN7aw,ChIJ81IpJZTZfkcR-hM8h-BN7aw,"['pizza_restaurant', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Fornace Morandi, 24/B, 35133 Padova PD, Italy",4,,
places/ChIJVckvy1HafkcR456aWJcAvlI,ChIJVckvy1HafkcR456aWJcAvlI,"['liquor_store', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","Via dell'Arco, 9, 35122 Padova PD, Italy",4.5,,
places/ChIJfz6I4gDbfkcR41z6I9kFOW8,ChIJfz6I4gDbfkcR41z6I9kFOW8,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Santi Fabiano e Sebastiano, 13, 35143 Padova PD, Italy",4.5,,
places/ChIJyeqWM0TafkcR86G_L77oiAI,ChIJyeqWM0TafkcR86G_L77oiAI,"['italian_restaurant', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via S. Pietro, 46, 35139 Padova PD, Italy",3.9,,
places/ChIJX1F9NETafkcRak9FtEBDeG8,ChIJX1F9NETafkcRak9FtEBDeG8,"['italian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via S. Pietro, 47, 35139 Padova PD, Italy",4.3,,
places/ChIJ9-ODzDjbfkcRxzIVcHHfFF4,ChIJ9-ODzDjbfkcRxzIVcHHfFF4,"['restaurant', 'italian_restaurant', 'food', 'point_of_interest', 'establishment']","Via Savonarola, 122, 35137 Padova PD, Italy",4.4,,
places/ChIJu1hZhe_afkcRP9DllyZrTwM,ChIJu1hZhe_afkcRP9DllyZrTwM,"['restaurant', 'cultural_center', 'pizza_restaurant', 'event_venue', 'bar', 'food', 'point_of_interest', 'establishment']","Via Ludovico Ariosto, 10, 35128 Padova PD, Italy",4.2,,
places/ChIJbUhzlcPefkcR-h6NKt8-IlE,ChIJbUhzlcPefkcR-h6NKt8-IlE,"['hotel', 'sushi_restaurant', 'japanese_restaurant', 'spa', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']","Piazza Repubblica, 23, 35031 Abano Terme PD, Italy",4.4,,
places/ChIJkUI1If7afkcR0E2W3YadCTU,ChIJkUI1If7afkcR0E2W3YadCTU,"['bakery', 'wholesaler', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Jacopo Facciolati, 12, 35126 Padova PD, Italy",4.2,,
places/ChIJ3UsowFDafkcR9WHsVtRoxeY,ChIJ3UsowFDafkcR9WHsVtRoxeY,"['restaurant', 'grocery_store', 'bar', 'store', 'food', 'point_of_interest', 'establishment']","Via Zabarella, 23, 35121 Padova PD, Italy",4.1,,
places/ChIJKRGMOE7afkcRNHXyyMgFzrU,ChIJKRGMOE7afkcRNHXyyMgFzrU,"['bar', 'point_of_interest', 'establishment']","Via Marsala, 50, 35122 Padova PD, Italy",4.6,,
places/ChIJbQSr-ILQfkcRF9R5kRY6MtU,ChIJbQSr-ILQfkcRF9R5kRY6MtU,"['pizza_restaurant', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Fornace Morandi, 25, 35134 Padova PD, Italy",4.3,,
places/ChIJ-7hJkUrYfkcRNckmhLp6J4w,ChIJ-7hJkUrYfkcRNckmhLp6J4w,"['bowling_alley', 'amusement_center', 'sports_complex', 'event_venue', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Antonio Rossi, 2/5/BIS, 35030 Rubano PD, Italy",4,,
places/ChIJX1jA6FvbfkcRk6FcFeIO7ZI,ChIJX1jA6FvbfkcRk6FcFeIO7ZI,"['pizza_restaurant', 'italian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via S. Fermo, 59, 35137 Padova PD, Italy",4.1,,
places/ChIJn0ipN6fbfkcRANpZ-fvlgl0,ChIJn0ipN6fbfkcRANpZ-fvlgl0,"['restaurant', 'italian_restaurant', 'food', 'point_of_interest', 'establishment']","Via Bartolomeo Cristofori, 12a, 35137 Padova PD, Italy",4.5,,
places/ChIJBVlgsTnafkcRJeoTzoYd0XE,ChIJBVlgsTnafkcRJeoTzoYd0XE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Vicenza, 23, 35138 Padova PD, Italy",4,,
places/ChIJlyxYRbDbfkcRORBCU2FGMDo,ChIJlyxYRbDbfkcRORBCU2FGMDo,"['coffee_shop', 'cafe', 'bar', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Trieste, 5c, 35121 Padova PD, Italy",4.2,,
places/ChIJlyxYRbDbfkcRORBCU2FGMDo,ChIJlyxYRbDbfkcRORBCU2FGMDo,"['coffee_shop', 'cafe', 'bar', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Trieste, 5c, 35121 Padova PD, Italy",4.2,,
places/ChIJW80BLlvafkcRI-khj1EQXtY,ChIJW80BLlvafkcRI-khj1EQXtY,"['restaurant', 'food', 'point_of_interest', 'establishment']","Largo Europa, 14, 35137 Padova PD, Italy",3.9,,
places/ChIJG-8-1K3bfkcRFdVE65y4xEg,ChIJG-8-1K3bfkcRFdVE65y4xEg,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Corso Vittorio Emanuele II, 185, 35123 Padova PD, Italy",4.6,,
places/ChIJO-etHEjafkcRli5SAEn_HZ8,ChIJO-etHEjafkcRli5SAEn_HZ8,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Volturno, 30/A, 35138 Padova PD, Italy",4.5,,
places/ChIJbRsCFkXafkcRFV0UzbORs2A,ChIJbRsCFkXafkcRFV0UzbORs2A,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Vicolo dei Dotto, 3, 35139 Padova PD, Italy",3,,
places/ChIJ4RPLEiDZfkcRWbts8YQQGjI,ChIJ4RPLEiDZfkcRWbts8YQQGjI,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via dei Colli, 164, 35143 Padova PD, Italy",4.1,,
places/ChIJZ-nxhUzafkcRQCa1ANbi3ss,ChIJZ-nxhUzafkcRQCa1ANbi3ss,"['coffee_shop', 'cafe', 'bar', 'store', 'food', 'point_of_interest', 'establishment']","Riviera Paleocapa, 66, 35141 Padova PD, Italy",4.2,,
places/ChIJq1tkYZPbfkcRMD6SKviCEQk,ChIJq1tkYZPbfkcRMD6SKviCEQk,"['bar', 'pizza_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Battaglia, 71, 35020 Albignasego PD, Italy",4.2,,
places/ChIJDVFEKlfafkcRAp9y-gI1RgE,ChIJDVFEKlfafkcRAp9y-gI1RgE,"['event_venue', 'bar', 'night_club', 'restaurant', 'food', 'point_of_interest', 'establishment']","c/o Fiera di, Via Francesco Rismondo, 35131 Padova PD, Italy",4.2,,
places/ChIJIy2EhvjbfkcRr38UAxMaInU,ChIJIy2EhvjbfkcRr38UAxMaInU,"['event_venue', 'bar', 'point_of_interest', 'establishment']","lungargine terranegra, 35127 Padova PD, Italy",4.2,,
places/ChIJn013XgnFfkcR0AiWAvWcR44,ChIJn013XgnFfkcR0AiWAvWcR44,"['sushi_restaurant', 'hotel', 'japanese_restaurant', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via dei Ronchi, 18, 35127 Padova PD, Italy",4.5,,
places/ChIJ2cAMchzbfkcRQ1IHPKq7ZbQ,ChIJ2cAMchzbfkcRQ1IHPKq7ZbQ,"['fast_food_restaurant', 'hamburger_restaurant', 'american_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via fra' Paolo Sarpi, 78, 35138 Padova PD, Italy",3.8,,
